,product_id,product_name,category,brand,sport_type,price,quantity_sold,branch_location,customer_rating,discount_percent,payment_mode,sales_date,supplier_name,revenue
0,1001,Volleyball,Shoes,SS,Volleyball,1000.0,4,Bangalore,3.0,20,UPI,2023-10-26,ABC Sports,4000.0
1,1002,Basketball Shoes,Bat,SS,Basketball,500.0,4,Mumbai,2.0,0,Cash,2023-12-19,XYZ Traders,2000.0
2,1003,TT Bat,Ball,SG,Table Tennis,1500.0,3,Mumbai,5.0,5,Card,2023-02-20,ABC Sports,4500.0
3,1004,Tennis Racket,Shoes,Adidas,Tennis,800.0,5,Pune,3.0,5,Card,2023-08-01,XYZ Traders,4000.0
4,1005,Knee Pads,Ball,Adidas,Volleyball,1500.0,2,Bangalore,1.0,5,UPI,2023-02-19,National Sports Hub,3000.0
5,1006,Swim Goggles,Shoes,SG,Swimming,1500.0,5,Nagpur,4.0,0,Cash,2023-12-09,XYZ Traders,7500.0
6,1007,Grip,Bat,Adidas,Badminton,1200.0,1,Mumbai,2.0,10,Card,2023-07-23,National Sports Hub,1200.0
7,1008,Knee Pads,Accessories,Yonex,Volleyball,500.0,4,Mumbai,2.0,10,UPI,2023-05-30,National Sports Hub,2000.0
8,1009,TT Bat,Ball,Yonex,Table Tennis,1004.5966004309313,4,Mumbai,3.0,20,UPI,2023-04-02,XYZ Traders,4018.386401723725
9,1010,Tennis Racket,Accessories,Yonex,Tennis,1000.0,1,Pune,5.0,10,UPI,2023-04-01,National Sports Hub,1000.0
10,1011,Basketball,Ball,Nivia,Basketball,800.0,2,Pune,4.0,20,Cash,2023-01-10,ABC Sports,1600.0
11,1012,TT Bat,Accessories,Nivia,Table Tennis,1004.5966004309313,4,Mumbai,4.0,20,Card,2023-07-29,ABC Sports,4018.386401723725
12,1013,TT Bat,Bat,Yonex,Table Tennis,1200.0,5,Chennai,2.0,5,Card,2023-07-14,ABC Sports,6000.0
13,1014,Badminton Racket,Protective Gear,Puma,Badminton,1200.0,1,Pune,2.0,15,Cash,2023-01-30,Not_Specify,1200.0
14,1015,Hockey Stick,Shoes,SS,Hockey,800.0,4,Pune,4.0,20,UPI,2023-05-30,XYZ Traders,3200.0
15,1016,Tennis Racket,Ball,SG,Tennis,1004.5966004309313,5,Pune,1.0,0,Cash,2023-04-02,XYZ Traders,5022.983002154657
16,1017,Football Shoes,Protective Gear,Puma,Football,800.0,1,Delhi,3.0,5,UPI,2023-07-20,Not_Specify,800.0
17,1018,TT Bat,Bat,Yonex,Table Tennis,800.0,1,Bangalore,1.0,0,UPI,2023-12-30,XYZ Traders,800.0
18,1019,Hockey Stick,Bat,SG,Hockey,500.0,1,Pune,5.0,0,Card,2023-10-24,ABC Sports,500.0
19,1020,Football Shoes,Bat,SS,Football,1004.5966004309313,2,Delhi,1.0,10,Cash,2023-05-24,Not_Specify,2009.1932008618626
20,1021,Tennis Racket,Ball,Adidas,Tennis,500.0,1,Delhi,1.0,0,Cash,2023-03-10,Not_Specify,500.0
21,1022,Pads,Ball,Puma,Cricket,500.0,3,Pune,5.0,20,Cash,2023-05-22,ABC Sports,1500.0
22,1023,Swim Goggles,Bat,SS,Swimming,1000.0,3,Chennai,2.9829736211031177,0,Card,2023-01-14,XYZ Traders,3000.0
23,1024,Hockey Stick,Bat,SG,Hockey,500.0,1,Delhi,2.9829736211031177,0,Cash,2023-06-24,National Sports Hub,500.0
24,1025,Kabaddi Mat,Accessories,MRF,Kabaddi,1500.0,4,Nagpur,3.0,10,Cash,2023-09-29,National Sports Hub,6000.0
25,1026,Batting Gloves,Bat,Puma,Cricket,1200.0,3,Delhi,4.0,0,Card,2023-12-25,XYZ Traders,3600.0
26,1027,Swim Cap,Shoes,Nivia,Swimming,1200.0,5,Bangalore,1.0,20,Cash,2023-02-12,National Sports Hub,6000.0
27,1028,Shuttlecock,Shoes,SG,Badminton,1500.0,5,Delhi,3.0,20,Card,2023-03-09,Not_Specify,7500.0
28,1029,Volleyball,Shoes,SG,Volleyball,800.0,4,Pune,5.0,0,Card,2023-09-12,National Sports Hub,3200.0
29,1030,Basketball,Protective Gear,Nivia,Basketball,1004.5966004309313,5,Chennai,2.9829736211031177,20,Cash,2023-05-22,XYZ Traders,5022.983002154657
30,1031,Kabaddi Mat,Accessories,SS,Kabaddi,1004.5966004309313,4,Mumbai,3.0,20,Cash,2023-02-10,XYZ Traders,4018.386401723725
31,1032,Grip,Accessories,SG,Badminton,1004.5966004309313,5,Nagpur,2.9829736211031177,10,Cash,2023-03-28,XYZ Traders,5022.983002154657
32,1033,Tennis Racket,Bat,Puma,Tennis,500.0,1,Delhi,1.0,5,Card,2023-11-25,Not_Specify,500.0
33,1034,Shuttlecock,Ball,Yonex,Badminton,1004.5966004309313,5,Chennai,4.0,5,Cash,2023-03-16,XYZ Traders,5022.983002154657
34,1035,Knee Pads,Protective Gear,Nivia,Volleyball,1004.5966004309313,1,Nagpur,5.0,15,Cash,2023-01-19,National Sports Hub,1004.5966004309313
35,1036,Tennis Racket,Bat,Puma,Tennis,1004.5966004309313,5,Bangalore,5.0,5,Card,2023-09-25,XYZ Traders,5022.983002154657
36,1037,Kabaddi Mat,Bat,Nivia,Kabaddi,1200.0,5,Delhi,1.0,0,Card,2023-10-30,XYZ Traders,6000.0
37,1038,Volleyball,Ball,SG,Volleyball,1500.0,5,Delhi,2.9829736211031177,20,Cash,2023-04-08,XYZ Traders,7500.0
38,1039,Football Shoes,Protective Gear,SS,Football,1000.0,1,Nagpur,3.0,5,Cash,2023-05-20,Not_Specify,1000.0
39,1040,Basketball Shoes,Protective Gear,Puma,Basketball,800.0,5,Delhi,4.0,10,Card,2023-05-11,Not_Specify,4000.0
40,1041,Kabaddi Mat,Bat,MRF,Kabaddi,1500.0,5,Delhi,5.0,15,Card,2023-07-05,Not_Specify,7500.0
41,1042,Shin Guards,Bat,Yonex,Football,1004.5966004309313,2,Mumbai,1.0,0,Cash,2023-06-23,Not_Specify,2009.1932008618626
42,1043,Swim Cap,Ball,Nivia,Swimming,800.0,1,Nagpur,1.0,5,Cash,2023-06-28,ABC Sports,800.0
43,1044,Ankle Support,Shoes,Adidas,Kabaddi,800.0,3,Pune,2.0,20,UPI,2023-12-21,ABC Sports,2400.0
44,1045,Swim Goggles,Protective Gear,SS,Swimming,1500.0,4,Pune,2.9829736211031177,10,Card,2023-01-15,National Sports Hub,6000.0
45,1046,Tennis Ball,Bat,SS,Tennis,1500.0,2,Bangalore,2.0,5,UPI,2023-10-26,XYZ Traders,3000.0
46,1047,Football Shoes,Ball,Adidas,Football,1500.0,5,Mumbai,3.0,20,Card,2023-09-22,Not_Specify,7500.0
47,1048,Basketball,Bat,Adidas,Basketball,1000.0,3,Nagpur,1.0,5,Card,2023-12-14,Not_Specify,3000.0
48,1049,Knee Pads,Bat,Puma,Volleyball,1500.0,3,Nagpur,2.9829736211031177,0,UPI,2023-12-15,XYZ Traders,4500.0
49,1050,TT Bat,Ball,SG,Table Tennis,1000.0,5,Mumbai,3.0,15,Card,2023-02-08,XYZ Traders,5000.0
50,1051,Grip,Bat,SG,Badminton,500.0,5,Mumbai,3.0,20,Cash,2023-08-19,ABC Sports,2500.0
51,1052,Cricket Bat,Bat,MRF,Cricket,1200.0,2,Bangalore,4.0,15,Cash,2023-11-20,XYZ Traders,2400.0
52,1053,Basketball Shoes,Ball,Yonex,Basketball,1000.0,1,Pune,2.0,15,Card,2023-02-26,ABC Sports,1000.0
53,1054,Football,Accessories,Nivia,Football,1200.0,2,Chennai,3.0,10,Card,2023-09-20,XYZ Traders,2400.0
54,1055,TT Ball,Bat,SG,Table Tennis,1004.5966004309313,1,Nagpur,4.0,20,Cash,2023-01-02,XYZ Traders,1004.5966004309313
55,1056,Basketball Shoes,Shoes,MRF,Basketball,500.0,3,Chennai,4.0,10,Cash,2023-02-23,Not_Specify,1500.0
56,1057,Football Shoes,Shoes,MRF,Football,800.0,4,Mumbai,2.9829736211031177,15,Card,2023-02-28,Not_Specify,3200.0
57,1058,Hockey Stick,Bat,SS,Hockey,1500.0,5,Nagpur,2.0,0,Cash,2023-12-21,ABC Sports,7500.0
58,1059,Hockey Stick,Accessories,SS,Hockey,1004.5966004309313,2,Pune,2.0,0,Card,2023-04-04,XYZ Traders,2009.1932008618626
